agent,environment,gamma,instance_number,episode_number,max_steps,performed_steps,return,discounted_return,time
Q-Learning_1,TestGrid,0.9,2,1,10,10,0.0,0.0,0.00025399999999997647
Q-Learning_1,TestGrid,0.9,2,2,10,10,1.0,0.3874204890000001,0.00021100000000018326
Q-Learning_1,TestGrid,0.9,2,3,10,10,0.0,0.0,0.0002089999999999037
Q-Learning_1,TestGrid,0.9,2,4,10,10,0.0,0.0,0.0002090000000003478
Q-Learning_1,TestGrid,0.9,2,5,10,10,0.0,0.0,0.00021000000000004349
Q-Learning_1,TestGrid,0.9,2,6,10,10,3.0,1.2961845990000003,0.00020799999999976393
Q-Learning_1,TestGrid,0.9,2,7,10,10,0.0,0.0,0.0002140000000001585
Q-Learning_1,TestGrid,0.9,2,8,10,10,0.0,0.0,0.0002140000000001585
Q-Learning_1,TestGrid,0.9,2,9,10,10,0.0,0.0,0.0002679999999997129
Q-Learning_1,TestGrid,0.9,2,10,10,10,0.0,0.0,0.00022300000000008424
