x,y,a,q
1,1,0,9.62870145961328
1,1,1,9.595428960271486
1,1,2,9.606930435754368
1,1,3,9.607217960363176
1,2,0,9.7713335
1,2,1,9.754703949687501
1,2,2,9.738228871050087
1,2,3,9.754703949687501
1,3,0,9.900250000000002
1,3,1,9.902500000000002
1,3,2,9.889499390312501
1,3,3,9.900250000000002
2,1,0,9.752971787187501
2,1,1,9.767154687500001
2,1,2,9.752487531218751
2,1,3,9.733166954472443
2,2,0,10.000000000000002
2,2,1,10.000000000000002
2,2,2,10.000000000000002
2,2,3,10.000000000000002
2,3,0,9.902500000000002
2,3,1,10.000000000000002
2,3,2,9.950000000000001
2,3,3,10.000000000000002
3,1,0,9.850748750000001
3,1,1,9.850748750000001
3,1,2,9.850748750000001
3,1,3,9.842061784343752
3,2,0,10.000000000000002
3,2,1,10.000000000000002
3,2,2,10.000000000000002
3,2,3,10.000000000000002
3,3,0,10.000000000000002
3,3,1,10.000000000000002
3,3,2,10.000000000000002
3,3,3,10.000000000000002
